ip,received,min,avg,max,mdev
152.19.160.1,60,0.663,0.841,0.974,0.060
152.19.253.53,60,0.762,3.337,63.557,9.099
152.19.253.89,60,1.275,2.228,21.820,3.347
152.2.255.65,60,1.295,1.552,2.455,0.166
128.109.1.89,60,4.751,5.136,5.457,0.164
128.109.9.21,60,6.030,6.432,7.025,0.201
198.86.53.233,60,11.282,11.822,14.161,0.730
108.170.249.35,0,0,0,0,0
108.170.249.162,60,12.179,13.319,19.494,1.564
142.251.51.103,0,0,0,0,0
216.239.40.119,0,0,0,0,0
142.251.51.131,0,0,0,0,0
142.250.209.70,0,0,0,0,0
142.250.209.128,0,0,0,0,0
142.251.49.172,0,0,0,0,0
72.14.233.136,0,0,0,0,0
142.251.49.156,0,0,0,0,0
108.170.246.33,60,11.751,12.146,13.097,0.238
108.170.228.151,0,0,0,0,0
108.170.225.173,0,0,0,0,0
172.217.164.174,60,20.041,20.197,20.377,0.082
